item1,item2,n
sussex,dashwood,1
norland,dashwood,1
centr,dashwood,1
henri,dashwood,1
legal,dashwood,1
inheritor,dashwood,1
bequeath,dashwood,1
niec,dashwood,1
solid,dashwood,1
relish,dashwood,1
inherit,dashwood,1
provis,dashwood,1
sale,dashwood,1
econom,dashwood,1
urgenc,dashwood,1
prudent,dashwood,1
caricatur,dashwood,1
generos,dashwood,1
honor,dashwood,1
keen,dashwood,1
whomsoev,dashwood,1
immov,dashwood,1
shew,dashwood,1
ungraci,dashwood,1
breach,dashwood,1
elinor,dashwood,1
judgment,dashwood,1
marianne,dashwood,1
margaret,dashwood,1
instal,dashwood,1
anybodi,dashwood,1
accommod,dashwood,1
blood,dashwood,1
relationship,dashwood,1
harri,dashwood,1
fanni,dashwood,1
prodigi,dashwood,1
fifteen,dashwood,1
yearli,dashwood,1
drain,dashwood,1
disinclin,dashwood,1
heighten,dashwood,1
indefatig,dashwood,1
earthli,dashwood,1
daughters,dashwood,1
reli,dashwood,1
edward,dashwood,1
ferrar,dashwood,1
uninfluenc,dashwood,1
barouch,dashwood,1
unobtrus,dashwood,1
approb,dashwood,1
mariann,dashwood,1
ornament,dashwood,1
propens,dashwood,1
dissatisfi,dashwood,1
commend,dashwood,1
warmth,dashwood,1
denot,dashwood,1
endeavor,dashwood,1
devonshir,dashwood,1
barton,dashwood,1
whenc,dashwood,1
middleton,dashwood,1
dissuad,dashwood,1
incommod,dashwood,1
exet,dashwood,1
tend,dashwood,1
disregard,dashwood,1
pianofort,dashwood,1
packag,dashwood,1
depart,dashwood,1
undoubtingli,dashwood,1
departur,dashwood,1
drift,dashwood,1
mainten,dashwood,1
overcam,dashwood,1
paint,dashwood,1
ladyship,dashwood,1
enquir,dashwood,1
debat,dashwood,1
appetit,dashwood,1
smart,dashwood,1
luckili,dashwood,1
jen,dashwood,1
jennings,dashwood,1
colonel,dashwood,1
brandon,dashwood,1
repuls,dashwood,1
graviti,dashwood,1
boister,dashwood,1
mirth,dashwood,1
middletons,dashwood,1
censur,dashwood,1
terror,dashwood,1
fever,dashwood,1
indisposit,dashwood,1
farewel,dashwood,1
allenham,dashwood,1
issu,dashwood,1
enquiri,dashwood,1
willoughbi,dashwood,1
tomorrow,dashwood,1
previou,dashwood,1
willoughby,dashwood,1
somersetshir,dashwood,1
tumbl,dashwood,1
vivac,dashwood,1
conform,dashwood,1
recept,dashwood,1
faultless,dashwood,1
gold,dashwood,1
unkindli,dashwood,1
openli,dashwood,1
prejudic,dashwood,1
inforc,dashwood,1
testimoni,dashwood,1
wisest,dashwood,1
subdu,dashwood,1
christian,dashwood,1
lock,dashwood,1
excurs,dashwood,1
carei,dashwood,1
newton,dashwood,1
delaford,dashwood,1
bargain,dashwood,1
poverti,dashwood,1
comb,dashwood,1
pretext,dashwood,1
unwilling,dashwood,1
backward,dashwood,1
dismiss,dashwood,1
suspend,dashwood,1
shakespear,dashwood,1
hamlet,dashwood,1
abruptli,dashwood,1
c,dashwood,1
magna,dashwood,1
print,dashwood,1
commiss,dashwood,1
honestli,dashwood,1
plait,dashwood,1
conspicu,dashwood,1
enforc,dashwood,1
displeas,dashwood,1
trade,dashwood,1
columella,dashwood,1
palmer,dashwood,1
charlott,dashwood,1
significantli,dashwood,1
monstrou,dashwood,1
chuse,dashwood,1
droll,dashwood,1
horrid,dashwood,1
cleveland,dashwood,1
steeles,dashwood,1
sweetest,dashwood,1
luci,dashwood,1
steel,dashwood,1
complac,dashwood,1
emerg,dashwood,1
knee,dashwood,1
eclat,dashwood,1
beaux,dashwood,1
vast,dashwood,1
ant,dashwood,1
beau,dashwood,1
simpson,dashwood,1
ann,dashwood,1
product,dashwood,1
aid,dashwood,1
illiter,dashwood,1
mental,dashwood,1
robert,dashwood,1
lucy,dashwood,1
subsist,dashwood,1
authoris,dashwood,1
pitiabl,dashwood,1
repetit,dashwood,1
chat,dashwood,1
harmoni,dashwood,1
wrap,dashwood,1
januari,dashwood,1
unexpectedli,dashwood,1
merrier,dashwood,1
forese,dashwood,1
accru,dashwood,1
